"날짜","평균강수량","최대강수량","평균기온","최고기온","최저기온","평균습도","최저습도","평균풍속","최대풍속","건고추가격","건고추거래량","배추가격","배추거래량","대파가격","대파거래량","마늘가격","마늘거래량","무가격","무거래량"
"2014-01-01",0,0.1,4.8,9.2,-0.3,51,11,3,15.5,0,0,0,0,0,0,0,0,0,0
"2014-01-02",0,0,2.6,9.1,-2.2,49,10,1.6,9.3,0,0,0,0,0,0,0,0,0,0
"2014-01-03",0,0,2.6,10.1,-3.2,54,12,1.2,9.6,0,0,471.2490107,549.64,857.3829764,408.89,3530.248412,77.13,307.1988364,833.98
"2014-01-04",1.2,31,1.5,6.9,-2.8,63,12,1.7,11.9,0,0,425.4488758,423.95,891.7430088,322.98,2409.531445,17.65,300.9311667,615.89
"2014-01-05",0.1,30.2,0.7,6.6,-3.7,62,9,1.6,10.1,0,0,0,0,0,0,0,0,0,0
"2014-01-06",0,11,0.2,7.6,-5.1,59,12,1.1,7.7,0,0,405.1503248,611.48,948.409142,355.81,2822.186551,23.05,264.600638,870.91
"2014-01-07",0,1.5,1.9,7.8,-4.3,60,16,1.1,8,0,0,398.9887822,493.86,932.9506375,314.98,2354.123386,14.25,250.0295747,818.27
"2014-01-08",1.8,41.3,2.1,5.3,-1.4,65,25,2.4,17.7,0,0,414.1766241,343.29,987.6085843,283.17,2408.945798,15.76,249.7987572,599.28
"2014-01-09",0,31.7,-4.4,-0.6,-8.1,34,9,3.6,22.3,0,0,430.3883482,288.81,980.6312297,297.77,2721.581866,22.72,250.6757008,484.39
"2014-01-10",0,1.4,-3.7,2,-9.6,56,10,1.8,12,0,0,347.2668482,444.1,899.2676167,301.66,2163.589492,29.5,248.6961218,499.97
"2014-01-11",0,0.2,-0.8,4.4,-5.5,58,14,1.6,12,0,0,320.3523233,282.18,797.5158344,299.19,2253.697709,12.05,226.7215095,612.66
"2014-01-12",0,6.4,-0.4,5.3,-5.1,56,14,2.3,15.3,0,0,0,0,0,0,0,0,0,0
"2014-01-13",0,20.7,-3.9,1.5,-8.4,38,8,2.3,13.3,0,0,357.7292295,504.08,835.0635135,293.8,1921.310106,27.41,237.2104049,643.31
"2014-01-14",0,1.1,-3.4,3.4,-9.3,43,10,1.8,11.6,0,0,307.2759352,375.77,824.0008985,289.38,2111.815203,15.26,232.5517396,554.51
"2014-01-15",0,1,-2.3,4.3,-8.1,50,12,1.8,10.6,0,0,370.82849,270.13,787.1861749,298.33,2746.818811,21.69,241.106729,453.35
"2014-01-16",0,0.5,-0.9,5.2,-6.6,62,18,1.5,9.2,0,0,385.5143794,330.86,739.2926521,305.37,2273.507923,11.99,243.5395642,608.02
"2014-01-17",0,20.4,-0.1,5.9,-5,64,17,1.2,9.5,0,0,355.2584211,446.11,787.8014682,233.76,1621.720721,28.86,237.0081143,642.32
"2014-01-18",0,9.1,-0.6,3.9,-4.6,53,16,2.9,18.1,0,0,335.9132855,409.62,807.6930553,244.88,2274.944209,14.16,232.3970857,584.71
"2014-01-19",0,1.5,-1.7,4.6,-8.3,49,8,1.4,13.6,0,0,0,0,0,0,0,0,0,0
"2014-01-20",1.5,9,1,5.5,-2.2,69,18,2.4,19.1,0,0,361.9931353,562.01,1009.60554,277.54,2150.740366,36.59,247.2764257,675.48
"2014-01-21",1.4,31.2,-2.9,-0.1,-5.5,66,26,3,21.4,0,0,313.353116,534.64,1026.83805,301.33,2263.127269,31.95,247.0636488,735
