날짜,건고추가격,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,건고추거래량,건고추생산량,건고추저장이월량,건고추수입량,건고추수입금액,건고추재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가
2014-01-22,2925,0,0,-2.7,3.4,-8,60,11,2,15.7,2.5,85068,0,97611,285150,36120,2195.18,1884.91,1703.67,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-23,5850,0,0.1,-1,7.1,-7.5,62,12,1.3,10.8,5,85068,0,97611,285150,36120,2195.24,1884.54,1703.47,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-24,2925,0,0,4,10.7,-3.5,66,23,1.9,11.3,2.5,85068,0,97611,285150,36120,2195.73,1884.02,1702.88,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-02-14,2985.220588,0.2,5.4,1.9,6,-1.6,63,26,2.3,11.2,2.55,85068,0,97611,285150,36120,2192.9,1879.89,1697.95,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-15,5970.441176,0,1,1.7,8.9,-4.1,62,15,1.6,11.6,5.1,85068,0,97611,285150,36120,2194.28,1879.81,1697.69,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-16,2985.220588,0,0,2.7,10.1,-3.9,62,11,1.2,7.4,2.55,85068,0,97611,285150,36120,2195.22,1879.62,1697.39,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-25,4367.1875,0,0.2,5.6,13.6,-1.3,61,18,1.3,6.7,0.015,85068,0,97611,285150,36120,2201.91,1880.5,1697.62,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-26,8734.375,4.1,57.8,6.2,11.5,1.2,72,18,1.4,11.5,0.03,85068,0,97611,285150,36120,2202.06,1880.55,1697.69,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-27,4367.1875,0.2,3.3,8.6,15.5,3.4,68,18,1.9,11.4,0.015,85068,0,97611,285150,36120,2202.53,1880.49,1697.5,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-03-03,3000,0,0,4.3,11.6,-2.4,52,11,1.6,8.4,0.005,85068,0,97611,285150,36120,2202.73,1880.59,1697.44,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-04,6000,0.2,26.6,5.1,11.4,-1.1,57,14,1.5,10.3,0.01,85068,0,97611,285150,36120,2203.05,1880.89,1697.46,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-05,7805.714285,0.7,15.1,3.1,8,-0.7,45,7,3.7,16.7,0.075,85068,0,97611,285150,36120,2202.82,1881.03,1697.47,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-06,9611.428571,0,0.3,1.4,6.5,-4.1,39,10,2.7,13.3,0.14,85068,0,97611,285150,36120,2202.59,1881.2,1697.44,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-07,12833.33333,0,0.2,1.3,6.3,-3.8,35,8,3,14,0.02,85068,0,97611,285150,36120,2202.68,1881.57,1697.76,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-08,10000,0,0.4,2.4,8.2,-3.2,46,10,2.1,8.9,0.04,85068,0,97611,285150,36120,2202.76,1881.68,1697.62,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-09,9117.708333,1.3,5.8,2.5,7.2,-1.5,52,10,3,16.3,0.045,85068,0,97611,285150,36120,2202.82,1881.68,1697.44,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-10,8235.416667,0,0,2,8.8,-4.4,45,10,2.3,15.3,0.05,85068,0,97611,285150,36120,2204.16,1881.83,1697.79,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
