날짜,배추가격,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,배추거래량,배추생산량,배추저장이월량,배추수입량,배추수입금액,배추재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가
2014-01-02,235.6245053,0,0,2.6,9.1,-2.2,49,10,1.6,9.3,274.82,2736447,0,426064,208887,32027,2201.07,1887.56,1706.27,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-03,471.2490107,0,0,2.6,10.1,-3.2,54,12,1.2,9.6,549.64,2736447,0,426064,208887,32027,2200.04,1888.51,1707.15,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-04,425.4488758,1.2,31,1.5,6.9,-2.8,63,12,1.7,11.9,423.95,2736447,0,426064,208887,32027,2199.92,1888.98,1707.61,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-05,415.2996003,0.1,30.2,0.7,6.6,-3.7,62,9,1.6,10.1,517.715,2736447,0,426064,208887,32027,2199,1889.11,1707.56,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-06,405.1503248,0,11,0.2,7.6,-5.1,59,12,1.1,7.7,611.48,2736447,0,426064,208887,32027,2200.38,1889.14,1707.8,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-07,398.9887822,0,1.5,1.9,7.8,-4.3,60,16,1.1,8,493.86,2736447,0,426064,208887,32027,2200.69,1889.15,1707.73,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-08,414.1766241,1.8,41.3,2.1,5.3,-1.4,65,25,2.4,17.7,343.29,2736447,0,426064,208887,32027,2200.98,1889.16,1707.7,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-09,430.3883482,0,31.7,-4.4,-0.6,-8.1,34,9,3.6,22.3,288.81,2736447,0,426064,208887,32027,2201.02,1889.13,1707.6,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-10,347.2668482,0,1.4,-3.7,2,-9.6,56,10,1.8,12,444.1,2736447,0,426064,208887,32027,2201.38,1888.66,1707.37,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-11,320.3523233,0,0.2,-0.8,4.4,-5.5,58,14,1.6,12,282.18,2736447,0,426064,208887,32027,2202.06,1888.51,1707.28,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-12,339.0407764,0,6.4,-0.4,5.3,-5.1,56,14,2.3,15.3,393.13,2736447,0,426064,208887,32027,2201.89,1888.39,1707.11,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-13,357.7292295,0,20.7,-3.9,1.5,-8.4,38,8,2.3,13.3,504.08,2736447,0,426064,208887,32027,2201.17,1888.27,1707.12,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-14,307.2759352,0,1.1,-3.4,3.4,-9.3,43,10,1.8,11.6,375.77,2736447,0,426064,208887,32027,2198.59,1887.64,1706.65,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-15,370.82849,0,1,-2.3,4.3,-8.1,50,12,1.8,10.6,270.13,2736447,0,426064,208887,32027,2196.99,1887.23,1706.31,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-16,385.5143794,0,0.5,-0.9,5.2,-6.6,62,18,1.5,9.2,330.86,2736447,0,426064,208887,32027,2196.88,1886.88,1705.98,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-17,355.2584211,0,20.4,-0.1,5.9,-5,64,17,1.2,9.5,446.11,2736447,0,426064,208887,32027,2196.73,1886.39,1705.56,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-18,335.9132855,0,9.1,-0.6,3.9,-4.6,53,16,2.9,18.1,409.62,2736447,0,426064,208887,32027,2196.89,1886.06,1705.11,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-19,348.9532104,0,1.5,-1.7,4.6,-8.3,49,8,1.4,13.6,485.815,2736447,0,426064,208887,32027,2197.16,1885.83,1704.69,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-20,361.9931353,1.5,9,1,5.5,-2.2,69,18,2.4,19.1,562.01,2736447,0,426064,208887,32027,2196.39,1885.54,1704.51,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-21,313.353116,1.4,31.2,-2.9,-0.1,-5.5,66,26,3,21.4,534.64,2736447,0,426064,208887,32027,2195.7,1885.24,1704.06,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-22,330.5440008,0,0,-2.7,3.4,-8,60,11,2,15.7,401.23,2736447,0,426064,208887,32027,2195.18,1884.91,1703.67,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-23,315.6433995,0,0.1,-1,7.1,-7.5,62,12,1.3,10.8,492.54,2736447,0,426064,208887,32027,2195.24,1884.54,1703.47,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-24,327.110193,0,0,4,10.7,-3.5,66,23,1.9,11.3,487.95,2736447,0,426064,208887,32027,2195.73,1884.02,1702.88,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-25,349.8872415,1.9,9,6.2,10.6,1.4,79,38,2.1,14.8,413.72,2736447,0,426064,208887,32027,2194.72,1883.73,1702.41,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-26,369.5943461,0.2,9.5,0.4,5.6,-4.1,56,8,2.5,14.3,507.12,2736447,0,426064,208887,32027,2194.88,1883.55,1702.17,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-27,389.3014508,0,0,0.7,8.9,-7,56,8,1.7,14.2,600.52,2736447,0,426064,208887,32027,2194.69,1883.49,1702.14,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-28,373.389362,0.1,1.3,3,9.3,-3.1,57,11,2.2,12.3,381.29,2736447,0,426064,208887,32027,2195.53,1883.21,1701.88,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-29,440.8396034,0.7,8.4,3,11.5,-6.4,51,5,1.4,12.4,230.06,2736447,0,426064,208887,32027,2195.85,1883.07,1701.64,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-30,595.9136411,1.1,5.1,6.1,10.2,1.7,73,13,2.3,14,13.39,2736447,0,426064,208887,32027,2196.62,1882.83,1701.27,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-31,297.9568205,0,0,3.1,10.8,-3.1,51,4,1.4,9.2,6.695,2736447,0,426064,208887,32027,2196.07,1882.89,1701.18,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-02-02,192.3868137,0.4,2,8.9,14.2,5.1,84,16,1.9,13,155.395,2736447,0,426064,208887,32027,2196.99,1882.63,1700.81,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-03,384.7736275,0,3.9,1.8,7.3,-4.5,50,9,3.6,17.7,310.79,2736447,0,426064,208887,32027,2197.29,1882.25,1700.62,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-04,345.098246,0,15.1,-4.9,-0.7,-8.1,35,9,3.7,20.5,374.57,2736447,0,426064,208887,32027,2196.64,1882.22,1700.7,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-05,352.9397058,0,2.2,-3.8,1.4,-8.1,40,11,1.7,11.1,307.99,2736447,0,426064,208887,32027,2196.96,1881.94,1700.5,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-06,318.2430002,0.3,36.2,-0.5,4.5,-4.8,52,13,1.7,10.3,259.61,2736447,0,426064,208887,32027,2197.83,1881.8,1700.22,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-07,348.8580314,2.8,35.5,2.6,6.7,-1.8,66,32,2.6,9.5,302.9,2736447,0,426064,208887,32027,2197.37,1881.48,1699.92,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-08,320.2464754,3.2,21.5,2.2,4.6,0.4,81,39,2.3,15.8,455.3,2736447,0,426064,208887,32027,2197.66,1881.13,1699.48,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-09,318.7021086,3.2,44.6,0.4,3.3,-1.3,76,35,2.5,16.4,546.005,2736447,0,426064,208887,32027,2197.34,1881,1699.1,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-10,317.1577418,2.2,44.2,0.1,3.4,-2.6,72,32,2.4,12.8,636.71,2736447,0,426064,208887,32027,2197.04,1880.85,1699.14,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-11,269.1150035,0.6,14.4,0.1,5.3,-4.2,63,23,2.1,9.6,504.69,2736447,0,426064,208887,32027,2195.41,1880.37,1698.7,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-12,328.3918253,0.4,9.1,0.9,6.5,-3.3,65,26,1.7,9.1,368.11,2736447,0,426064,208887,32027,2195.22,1880.18,1698.37,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-13,285.0901438,2.1,40.1,1.6,6,-2.7,68,26,2,11.1,453.78,2736447,0,426064,208887,32027,2194.07,1880.08,1698.15,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
