날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,건고추가격,건고추거래량,건고추생산량,건고추저장이월량,건고추수입량,건고추수입금액,건고추재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가
2014-01-23,0,0.1,-1,7.1,-7.5,62,12,1.3,10.8,5850,5,85068,0,97611,285150,36120,2195.24,1884.54,1703.47,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-02-15,0,1,1.7,8.9,-4.1,62,15,1.6,11.6,5970.441176,5.1,85068,0,97611,285150,36120,2194.28,1879.81,1697.69,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-26,4.1,57.8,6.2,11.5,1.2,72,18,1.4,11.5,8734.375,0.03,85068,0,97611,285150,36120,2202.06,1880.55,1697.69,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-03-04,0.2,26.6,5.1,11.4,-1.1,57,14,1.5,10.3,6000,0.01,85068,0,97611,285150,36120,2203.05,1880.89,1697.46,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-06,0,0.3,1.4,6.5,-4.1,39,10,2.7,13.3,9611.428571,0.14,85068,0,97611,285150,36120,2202.59,1881.2,1697.44,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-07,0,0.2,1.3,6.3,-3.8,35,8,3,14,12833.33333,0.02,85068,0,97611,285150,36120,2202.68,1881.57,1697.76,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-08,0,0.4,2.4,8.2,-3.2,46,10,2.1,8.9,10000,0.04,85068,0,97611,285150,36120,2202.76,1881.68,1697.62,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-10,0,0,2,8.8,-4.4,45,10,2.3,15.3,8235.416667,0.05,85068,0,97611,285150,36120,2204.16,1881.83,1697.79,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-11,0,0,5,13.6,-3.6,48,8,2,12.5,10500,0.02,85068,0,97611,285150,36120,2204.07,1881.9,1697.68,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-13,8.8,37.5,4.2,7.6,1.4,80,31,3,21.3,6924.242424,0.13,85068,0,97611,285150,36120,2204.33,1882.1,1697.54,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-14,0.3,4.5,3.3,8.4,-0.9,66,21,2.1,17.2,9333.333333,0.01,85068,0,97611,285150,36120,2204.58,1881.87,1697.26,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-15,0,0,6.9,14.1,-1.4,59,16,2.6,13.5,6790.697674,0.04,85068,0,97611,285150,36120,2204.68,1881.8,1697,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-17,1.3,26.5,12.4,20.1,3.8,71,18,2.5,16.1,5076.923077,0.03,85068,0,97611,285150,36120,2203.72,1881.8,1696.95,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-21,0,0.5,5,10.4,0.5,59,17,2.6,21,8833.333333,0.04,85068,0,97611,285150,36120,2203.16,1880.8,1695.33,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-22,0,0,7.6,15.6,-1,58,14,1.9,8.9,9000,0.1,85068,0,97611,285150,36120,2202.87,1880.6,1694.98,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-24,0,0.1,11.2,18.1,2.2,50,6,2.3,12.6,8845.454545,0.11,85068,0,97611,285150,36120,2202.58,1880.33,1694.7,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-27,0,0,12.7,20.6,6.4,71,12,1.6,9.1,5435.294118,0.03,85068,0,97611,285150,36120,2201.43,1879.51,1693.82,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-28,0,1.5,15.7,24.1,7.6,59,10,1.9,13.8,3666.666667,0.02,85068,0,97611,285150,36120,2200.81,1879.34,1693.62,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-29,10.7,70,14.2,17.2,11.7,82,23,1.9,14.8,3952.941176,0.03,85068,0,97611,285150,36120,2200.91,1879.13,1693.22,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-31,0,0,12,19.8,5.5,66,11,1.4,7.8,8254.385965,0.06,85068,0,97611,285150,36120,2199.91,1878.94,1693.14,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-04-02,0,0,14.3,22.6,6.3,48,11,1.6,9.4,8333.333333,0.05,85068,0,97611,285150,36120,2200.63,1878.42,1692.75,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-04,0.8,14.5,7,11.9,2.8,54,14,3,22.7,6477.981651,5.45,85068,0,97611,285150,36120,2200.23,1878.3,1692.45,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-07,0,0,11.6,19.2,3.9,47,10,2.8,12.5,8535.353535,0.2,85068,0,97611,285150,36120,2200.29,1877.99,1691.93,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-12,0.1,10,13.4,18.1,9.4,66,19,1.4,7.9,7333.333333,0.06,85068,0,97611,285150,36120,2198.31,1876.56,1689.76,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-16,0,2.4,16.3,23,11,60,12,2,9.8,6666.666667,0.02,85068,0,97611,285150,36120,2200.91,1876,1688.75,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-22,0,0,14.9,22,8.6,47,10,1.9,9.7,9444.444444,0.06,85068,0,97611,285150,36120,2199.14,1874.74,1687.09,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-23,0,0,15.4,24.2,6.7,48,8,1.7,9.2,7666.666667,0.06,85068,0,97611,285150,36120,2200.36,1874.35,1686.66,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-24,0,0,16.6,25.2,8.5,48,10,1.6,8.1,6333.333333,0.07,85068,0,97611,285150,36120,2200,1874.04,1686.41,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-05-09,0,0,15.5,23.4,8.3,60,14,1.8,8.8,10500,0.02,85068,0,97611,285150,36120,2195.87,1871.77,1683.64,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-16,0,0,19,26.1,11.7,49,12,2.3,10.5,7300,0.005,85068,0,97611,285150,36120,2192.79,1869.3,1680.85,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-22,0,0.5,19.5,27,12.7,67,16,1.9,8.3,7787.261146,0.16,85068,0,97611,285150,36120,2193.11,1867.9,1679.04,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-23,0,1.5,19.2,24.1,15.4,74,34,1.9,10.3,10333.33333,0.04,85068,0,97611,285150,36120,2193.45,1867.68,1678.88,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-24,0,0.3,21.8,28.6,15.4,68,16,1.9,9.7,5400,0.02,85068,0,97611,285150,36120,2194.01,1867.37,1678.46,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-27,0,0,22,29.5,13.5,48,13,2.8,13.4,6275.925926,5.4,85068,0,97611,285150,36120,2194.47,1866.71,1677.53,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-06-10,4,47.5,21,25.4,18,77,31,2,7.6,7333.333333,0.02,85068,0,97611,285150,36120,2191.01,1863.04,1672.69,1.7,-1,1.9,2.4,0.7,1.8,2.1,1.4
2014-06-17,1.9,84,22,26.1,19.2,74,28,1.7,11.7,10000,0.006,85068,0,97611,285150,36120,2186.77,1859.85,1668.6,1.7,-1,1.9,2.4,0.7,1.8,2.1,1.4
2014-06-19,0.3,7.5,22.6,27.9,18,74,27,1.8,10.5,5833.333333,0.006,85068,0,97611,285150,36120,2188.61,1859.28,1667.83,1.7,-1,1.9,2.4,0.7,1.8,2.1,1.4
2014-06-20,1.4,15.5,22.2,26.7,18.3,76,34,1.9,11.1,10500,0.006,85068,0,97611,285150,36120,2187.79,1859.11,1667.59,1.7,-1,1.9,2.4,0.7,1.8,2.1,1.4
2014-06-24,2.5,33,21.8,27,18,80,33,1.7,7.7,6600,4,85068,0,97611,285150,36120,2191.88,1859.29,1667.4,1.7,-1,1.9,2.4,0.7,1.8,2.1,1.4
2014-06-30,1.7,29,23.7,29.5,19.4,75,31,1.6,7.1,7350,0.006,85068,0,97611,285150,36120,2193.01,1859.23,1667.24,1.7,-1,1.9,2.4,0.7,1.8,2.1,1.4
2014-07-01,1.5,60.5,24.6,31.1,19.5,73,23,1.6,7,8333.333333,0.06,85068,0,97611,285150,36120,2193.86,1859.21,1666.85,1.6,-2.2,1.9,2.3,1.1,1.8,2.2,1.4
2014-07-05,0.8,40.6,23.1,27.3,19.5,78,30,1.5,13.5,6480,5,85068,0,97611,285150,36120,2195.95,1859.35,1666.1,1.6,-2.2,1.9,2.3,1.1,1.8,2.2,1.4
2014-07-07,0.9,9,23.3,28,19,81,22,1.6,9.1,8297.222222,0.07,85068,0,97611,285150,36120,2194.83,1859.11,1665.75,1.6,-2.2,1.9,2.3,1.1,1.8,2.2,1.4
2014-07-09,7.2,65,26.1,30.4,23.4,85,44,2.3,18.7,4747.058824,0.07,85068,0,97611,285150,36120,2194.4,1858.5,1664.52,1.6,-2.2,1.9,2.3,1.1,1.8,2.2,1.4
2014-07-10,0,6,26.9,32,23.2,72,25,2.4,16.4,7568.410596,0.15,85068,0,97611,285150,36120,2194.34,1858.3,1664.12,1.6,-2.2,1.9,2.3,1.1,1.8,2.2,1.4
2014-07-12,0.9,41,24.7,29.2,20.8,72,27,1.5,10.4,1300,0.03,85068,0,97611,285150,36120,2194.53,1857.83,1663.05,1.6,-2.2,1.9,2.3,1.1,1.8,2.2,1.4
