날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,마늘거래량,마늘생산량,마늘저장이월량,마늘수입량,마늘수입금액,마늘재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가,마늘가격
2014-01-03,0,0,2.6,10.1,-3.2,54,12,1.2,9.6,77.13,353760,0,52810,30417,25062,2200.04,1888.51,1707.15,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,3530.248412
2014-01-04,1.2,31,1.5,6.9,-2.8,63,12,1.7,11.9,17.65,353760,0,52810,30417,25062,2199.92,1888.98,1707.61,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2409.531445
2014-01-06,0,11,0.2,7.6,-5.1,59,12,1.1,7.7,23.05,353760,0,52810,30417,25062,2200.38,1889.14,1707.8,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2822.186551
2014-01-07,0,1.5,1.9,7.8,-4.3,60,16,1.1,8,14.25,353760,0,52810,30417,25062,2200.69,1889.15,1707.73,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2354.123386
2014-01-08,1.8,41.3,2.1,5.3,-1.4,65,25,2.4,17.7,15.76,353760,0,52810,30417,25062,2200.98,1889.16,1707.7,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2408.945798
2014-01-09,0,31.7,-4.4,-0.6,-8.1,34,9,3.6,22.3,22.72,353760,0,52810,30417,25062,2201.02,1889.13,1707.6,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2721.581866
2014-01-10,0,1.4,-3.7,2,-9.6,56,10,1.8,12,29.5,353760,0,52810,30417,25062,2201.38,1888.66,1707.37,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2163.589492
2014-01-11,0,0.2,-0.8,4.4,-5.5,58,14,1.6,12,12.05,353760,0,52810,30417,25062,2202.06,1888.51,1707.28,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2253.697709
2014-01-13,0,20.7,-3.9,1.5,-8.4,38,8,2.3,13.3,27.41,353760,0,52810,30417,25062,2201.17,1888.27,1707.12,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,1921.310106
2014-01-14,0,1.1,-3.4,3.4,-9.3,43,10,1.8,11.6,15.26,353760,0,52810,30417,25062,2198.59,1887.64,1706.65,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2111.815203
2014-01-15,0,1,-2.3,4.3,-8.1,50,12,1.8,10.6,21.69,353760,0,52810,30417,25062,2196.99,1887.23,1706.31,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2746.818811
2014-01-16,0,0.5,-0.9,5.2,-6.6,62,18,1.5,9.2,11.99,353760,0,52810,30417,25062,2196.88,1886.88,1705.98,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2273.507923
2014-01-17,0,20.4,-0.1,5.9,-5,64,17,1.2,9.5,28.86,353760,0,52810,30417,25062,2196.73,1886.39,1705.56,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,1621.720721
2014-01-18,0,9.1,-0.6,3.9,-4.6,53,16,2.9,18.1,14.16,353760,0,52810,30417,25062,2196.89,1886.06,1705.11,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2274.944209
2014-01-20,1.5,9,1,5.5,-2.2,69,18,2.4,19.1,36.59,353760,0,52810,30417,25062,2196.39,1885.54,1704.51,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2150.740366
2014-01-21,1.4,31.2,-2.9,-0.1,-5.5,66,26,3,21.4,31.95,353760,0,52810,30417,25062,2195.7,1885.24,1704.06,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2263.127269
2014-01-22,0,0,-2.7,3.4,-8,60,11,2,15.7,27.11,353760,0,52810,30417,25062,2195.18,1884.91,1703.67,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2355.274786
2014-01-23,0,0.1,-1,7.1,-7.5,62,12,1.3,10.8,14.34,353760,0,52810,30417,25062,2195.24,1884.54,1703.47,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2305
2014-01-24,0,0,4,10.7,-3.5,66,23,1.9,11.3,34.29,353760,0,52810,30417,25062,2195.73,1884.02,1702.88,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2396.097276
2014-01-25,1.9,9,6.2,10.6,1.4,79,38,2.1,14.8,19.04,353760,0,52810,30417,25062,2194.72,1883.73,1702.41,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2551.934468
2014-01-27,0,0,0.7,8.9,-7,56,8,1.7,14.2,117.11,353760,0,52810,30417,25062,2194.69,1883.49,1702.14,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,1638.866394
2014-01-28,0.1,1.3,3,9.3,-3.1,57,11,2.2,12.3,23,353760,0,52810,30417,25062,2195.53,1883.21,1701.88,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,2616.798
2014-01-29,0.7,8.4,3,11.5,-6.4,51,5,1.4,12.4,26.61,353760,0,52810,30417,25062,2195.85,1883.07,1701.64,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,1774.998497
2014-02-03,0,3.9,1.8,7.3,-4.5,50,9,3.6,17.7,25.66,353760,0,52810,30417,25062,2197.29,1882.25,1700.62,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2333.938036
2014-02-04,0,15.1,-4.9,-0.7,-8.1,35,9,3.7,20.5,15.31,353760,0,52810,30417,25062,2196.64,1882.22,1700.7,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2099.553886
2014-02-05,0,2.2,-3.8,1.4,-8.1,40,11,1.7,11.1,8.09,353760,0,52810,30417,25062,2196.96,1881.94,1700.5,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2054.140915
2014-02-06,0.3,36.2,-0.5,4.5,-4.8,52,13,1.7,10.3,16.06,353760,0,52810,30417,25062,2197.83,1881.8,1700.22,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2333.17995
2014-02-07,2.8,35.5,2.6,6.7,-1.8,66,32,2.6,9.5,41.04,353760,0,52810,30417,25062,2197.37,1881.48,1699.92,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,4364.891082
2014-02-08,3.2,21.5,2.2,4.6,0.4,81,39,2.3,15.8,9.57,353760,0,52810,30417,25062,2197.66,1881.13,1699.48,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2315.907001
2014-02-10,2.2,44.2,0.1,3.4,-2.6,72,32,2.4,12.8,15.19,353760,0,52810,30417,25062,2197.04,1880.85,1699.14,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2198.756419
2014-02-11,0.6,14.4,0.1,5.3,-4.2,63,23,2.1,9.6,13.69,353760,0,52810,30417,25062,2195.41,1880.37,1698.7,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2174.481525
2014-02-12,0.4,9.1,0.9,6.5,-3.3,65,26,1.7,9.1,12.45,353760,0,52810,30417,25062,2195.22,1880.18,1698.37,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2140.045783
2014-02-13,2.1,40.1,1.6,6,-2.7,68,26,2,11.1,11.12,353760,0,52810,30417,25062,2194.07,1880.08,1698.15,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2139.788669
2014-02-14,0.2,5.4,1.9,6,-1.6,63,26,2.3,11.2,19.61,353760,0,52810,30417,25062,2192.9,1879.89,1697.95,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2178.802407
2014-02-15,0,1,1.7,8.9,-4.1,62,15,1.6,11.6,12.27,353760,0,52810,30417,25062,2194.28,1879.81,1697.69,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2030.01956
2014-02-17,2.5,32,4.1,8.3,0.7,66,20,2,13.2,18.18,353760,0,52810,30417,25062,2195.6,1879.59,1697.58,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2395.767327
2014-02-18,0.5,8.5,2.4,5.6,-0.7,61,28,2.8,10.7,22.01,353760,0,52810,30417,25062,2199.79,1880.49,1697.75,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2372.656974
2014-02-19,0.1,2.1,1.6,6.7,-2.8,60,22,1.8,9,12.19,353760,0,52810,30417,25062,2201.21,1880.43,1697.61,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2129.415094
2014-02-20,0,9.2,1.5,7.5,-3.8,64,13,1.8,12.5,22.69,353760,0,52810,30417,25062,2200.68,1880.46,1697.58,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2242.813382
2014-02-21,0,9.6,1.1,7.9,-4.4,57,5,1.7,11.8,14.25,353760,0,52810,30417,25062,2202.19,1880.32,1697.44,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,1976.583398
2014-02-22,0,2.4,1.8,9.2,-4.5,61,14,1.4,8.8,12.56,353760,0,52810,30417,25062,2202.28,1880.29,1697.35,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,2131.121815
2014-02-24,0,6.5,4.2,12,-2.5,61,19,1.3,7.8,22.45,353760,0,52810,30417,25062,2201.33,1880.29,1697.34,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,1878.618708
